control
([10, 'mse', None, 50, True, 1], 0.0086158548386095681)
([10, 'mse', None, 50, True, 10], 0.0092888681748190711)
([10, 'mse', None, 50, True, 50], 0.017609482237980614)
([10, 'mse', None, 50, False, 1], 0.0092861244988656413)
([10, 'mse', None, 50, False, 10], 0.009252668650471918)
([10, 'mse', None, 50, False, 50], 0.016197018806012719)
([10, 'mae', 10, 2, True, 1], 0.0016334043525641465)
([10, 'mae', 10, 2, True, 10], 0.0057351809766484395)
([10, 'mae', 10, 2, True, 50], 0.020354698613097372)
([10, 'mae', 10, 2, False, 1], 0.001340648222103061)
([10, 'mae', 10, 2, False, 10], 0.0057343129296145807)
([10, 'mae', 10, 2, False, 50], 0.014011996370374194)
([10, 'mae', 10, 10, True, 1], 0.0023907717686383217)
([10, 'mae', 10, 10, True, 10], 0.0049175849256916874)
([10, 'mae', 10, 10, True, 50], 0.018344181850328815)
([10, 'mae', 10, 10, False, 1], 0.0015273165409160753)
([10, 'mae', 10, 10, False, 10], 0.0057343129296145807)
([10, 'mae', 10, 10, False, 50], 0.014011996370374194)
([10, 'mae', 10, 50, True, 1], 0.0082954554440826719)
([10, 'mae', 10, 50, True, 10], 0.0085101792173981634)
([10, 'mae', 10, 50, True, 50], 0.019522560962943813)
([10, 'mae', 10, 50, False, 1], 0.00901170680662957)
([10, 'mae', 10, 50, False, 10], 0.00901170680662957)
([10, 'mae', 10, 50, False, 50], 0.014011996370374194)
([10, 'mae', 20, 2, True, 1], 0.0013946180161596392)
([10, 'mae', 20, 2, True, 10], 0.0052647108835890116)
([10, 'mae', 20, 2, True, 50], 0.021189266183785253)
([10, 'mae', 20, 2, False, 1], 0.0012507121023706633)
([10, 'mae', 20, 2, False, 10], 0.0057343129296145807)
([10, 'mae', 20, 2, False, 50], 0.014011996370374194)
([10, 'mae', 20, 10, True, 1], 0.0018337144538146354)
([10, 'mae', 20, 10, True, 10], 0.0052531314229670627)
([10, 'mae', 20, 10, True, 50], 0.019542983596000669)
([10, 'mae', 20, 10, False, 1], 0.0015051016997189041)
([10, 'mae', 20, 10, False, 10], 0.0057343129296145807)
([10, 'mae', 20, 10, False, 50], 0.014011996370374194)
([10, 'mae', 20, 50, True, 1], 0.0076473671223954891)
([10, 'mae', 20, 50, True, 10], 0.0081180761113808855)
